type,amount,otherPlayer,player,time
Money Transfer,753055,Horde Auction House,Neffbankench,1592505739
Money Transfer,3381304,Horde Auction House,Neffbankench,1592561318
Money Transfer,197585,Horde Auction House,Neffbankench,1592503874
Money Transfer,2000000,Nefferbank,Neffbankench,1592573487
Money Transfer,316136,Horde Auction House,Neffbankench,1592487981
Money Transfer,180000,Thepotman,Confused,1592525685
Money Transfer,96204,Horde Auction House,Neffbankench,1592482847
Money Transfer,5439348,Thepotman,Nefferbank,1592516976
Money Transfer,112255,Horde Auction House,Neffbankench,1592417188
Money Transfer,72153,Horde Auction House,Neffbankench,1592415755
Money Transfer,97551,Horde Auction House,Neffbankench,1592343236
Money Transfer,30085,Horde Auction House,Nefferbank,1592341476
Money Transfer,3651242,Thepotman,Nefferbank,1591832659
Money Transfer,250000,Neffbankench,Confused,1592336153
Money Transfer,7,Horde Auction House,Nefferbank,1592075341
Money Transfer,2264043,Thepotman,Nefferbank,1592336543
Money Transfer,979700,Marnaa,Nefferbank,1592155207
Money Transfer,3262949,Thepotman,Nefferbank,1592154605
Money Transfer,138068,Horde Auction House,Marnaa,1592073993
Money Transfer,500000,Neffer,Confused,1583106636
Money Transfer,600000,Nefferbank,Neffbankherb,1582845340
Money Transfer,568633,Thepotman,Nefferbank,1591825723
Money Transfer,314853,Horde Auction House,Neffbankench,1591736984
Money Transfer,4174888,Confused,Nefferbank,1591811905
Money Transfer,532831,Thepotman,Confused,1591806347
Money Transfer,1478801,Nefferbank,Confused,1591806318
Money Transfer,3812511,Neffbankherb,Confused,1591806210
Money Transfer,641375,Neffstorage,Confused,1591805896
Money Transfer,450000,Marnaa,Neffbankench,1591738093
Money Transfer,502379,Neffbankherb,Confused,1591788405
Money Transfer,3133941,Neffstorage,Confused,1591788319
Money Transfer,700000,Thepotman,Confused,1591779013
Money Transfer,154,Horde Auction House,Neffbankench,1591700797
Money Transfer,183085,Horde Auction House,Neffbankench,1591697212
Money Transfer,500000,Nefferbank,Neffbankench,1591738057
Money Transfer,1200000,Thepotman,Neffbankench,1591738014
Money Transfer,14,Horde Auction House,Nefferbank,1591438664
Money Transfer,279419,Horde Auction House,Neffbankench,1591603279
Money Transfer,10000,Frozbank,Sellee,1591625210
Money Transfer,25000,Gundao,Confused,1591399395
Money Transfer,500000,Azgpriest,Neffer,1583967216
Money Transfer,36042,Horde Auction House,Neffbankench,1591300874
Money Transfer,91521,Horde Auction House,Neffbankench,1591222954
Money Transfer,40007,Horde Auction House,Neffbankench,1591221032
Money Transfer,91521,Horde Auction House,Neffbankench,1591206722
Money Transfer,1500000,Confused,Neffer,1584054523
Money Transfer,1200000,Neffer,Marnaa,1584124575
Money Transfer,82577,Horde Auction House,Neffbankench,1591047955
Money Transfer,38017,Horde Auction House,Neffbankench,1591137314
Money Transfer,741753,Horde Auction House,Neffbankench,1591132265
Money Transfer,244038,Horde Auction House,Neffbankench,1591105880
Money Transfer,42003,Horde Auction House,Neffbankench,1591074586
Money Transfer,1260922,Horde Auction House,Neffbankench,1591074277
Money Transfer,200000,Neffer,Neffbankherb,1583869167
Money Transfer,1000000,Marnaa,Confused,1586128448
Money Transfer,75070,Horde Auction House,Neffbankench,1591038481
Money Transfer,243042,Horde Auction House,Neffbankench,1591006672
Money Transfer,1255717,Horde Auction House,Neffbankench,1590999598
Money Transfer,931661,Horde Auction House,Neffbankench,1590997398
Money Transfer,1787885,Horde Auction House,Neffbankench,1588404384
Money Transfer,800000,Neffbankherb,Nefferbank,1590767548
Money Transfer,131161,Horde Auction House,Marnaa,1590961218
Money Transfer,1000000,Neffbankench,Thepotman,1590792006
Money Transfer,585126,Horde Auction House,Neffbankench,1590906338
Money Transfer,1500000,Nefferbank,Marnaa,1590883555
Money Transfer,100000,Neffbankench,Confused,1590847630
Money Transfer,1100000,Thepotman,Nefferbank,1590702931
Money Transfer,500000,Confused,Nefferbank,1590702878
Money Transfer,390084,Horde Auction House,Neffbankench,1589980963
Money Transfer,1435287,Horde Auction House,Neffbankench,1589293753
Money Transfer,400000,Marnaa,Thepotman,1590686841
Money Transfer,200000,Neffbankherb,Thepotman,1590686888
Money Transfer,500000,Nefferbank,Thepotman,1590686936
Money Transfer,750000,Nefferbank,Thepotman,1590353518
Money Transfer,73014,Horde Auction House,Neffbankench,1590256592
Money Transfer,150000,Nefferbank,Thepotman,1590062555
Money Transfer,600000,Marnaa,Nefferbank,1590282017
Money Transfer,500000,Nefferbank,Neffer,1589909917
Money Transfer,130028,Horde Auction House,Neffbankench,1589694746
Money Transfer,1101233,Horde Auction House,Neffbankench,1589811176
Money Transfer,500000,Neffer,Marnaa,1589892956
Money Transfer,1750350,Horde Auction House,Neffbankench,1589377539
Money Transfer,200000,Nefferbank,Marnaa,1589733922
Money Transfer,350070,Horde Auction House,Neffbankench,1589464485
Money Transfer,1750350,Horde Auction House,Neffbankench,1589298538
Money Transfer,7088400,Horde Auction House,Neffer,1589002951
Money Transfer,3025011,Horde Auction House,Neffbankench,1589090027
Money Transfer,1496242,Horde Auction House,Neffbankench,1588885578
Money Transfer,1626350,Horde Auction House,Neffbankench,1588829614
Money Transfer,2958137,Horde Auction House,Neffbankench,1588456038
Money Transfer,30407,Horde Auction House,Neffbankench,1588802435
Money Transfer,2926530,Horde Auction House,Neffbankench,1588705614
Money Transfer,2568053,Horde Auction House,Neffbankench,1588568752
Money Transfer,9000000,Neffer,Marnaa,1588765253
Money Transfer,1500000,Marnaa,Neffbankench,1588615215
Money Transfer,100000,Nefferbank,Marnaa,1586373327
Money Transfer,2373011,Horde Auction House,Neffbankench,1588267303
Money Transfer,1690364,Horde Auction House,Neffbankench,1588321809
Money Transfer,350000,Marnaa,Neffbankench,1588291598
Money Transfer,400000,Nefferbank,Neffbankench,1588291674
Money Transfer,1500000,Nefferbank,Neffer,1586519520
Money Transfer,489033,Horde Auction House,Neffbankench,1588164970
Money Transfer,500000,Neffbankherb,Marnaa,1586473878
Money Transfer,500000,Neffer,Neffbankench,1588194208
Money Transfer,960032,Horde Auction House,Neffbankench,1587074573
Money Transfer,500000,Neffer,Marnaa,1587424434
Money Transfer,225009,Horde Auction House,Neffbankench,1587965204
Money Transfer,400000,Nefferbank,Neffbankench,1588021354
Money Transfer,50000,Nefferbank,Marnaa,1588007204
Money Transfer,150000,Confused,Neffbankench,1587838235
Money Transfer,29000,Sellee,Neffbankench,1587837945
Money Transfer,800000,Marnaa,Sellee,1587751123
Money Transfer,1400000,Neffbankench,Sellee,1587751197
Money Transfer,400000,Neffbankench,Neffer,1587340959
Money Transfer,1500000,Neffbankench,Neffer,1587334186
Money Transfer,100000,Nefferbank,Marnaa,1587293911
Money Transfer,1100000,Neffbankench,Marnaa,1586822889
Money Transfer,500000,Nefferbank,Neffer,1586713822
Money Transfer,2000000,Neffer,Confused,1586129959
Money Transfer,2500000,Neffer,Neffbankench,1586043045
Money Transfer,200000,Confused,Marnaa,1584388479
Money Transfer,300000,Neffbankench,Marnaa,1584572295
Money Transfer,100000,Neffbankench,Marnaa,1584724815
Money Transfer,250000,Neffbankfish,Marnaa,1584572211
Money Transfer,550000,Neffbankfish,Neffer,1583783612
Money Transfer,1500000,Nefferbank,Neffer,1583783957
Money Transfer,2000000,Nefferbank,Neffer,1583670689
Money Transfer,50000,Galactus,Confused,1583681571
Money Transfer,1000000,Nefferbank,Marnaa,1585954177
Money Transfer,1000000,Neffer,Nefferbank,1583539943
Money Transfer,2000000,Nefferbank,Neffer,1583517749
Money Transfer,1500000,Neffbankfish,Neffer,1583517796
Money Transfer,300000,Neffbankfish,Neffer,1579538761
Money Transfer,1100000,Neffbankench,Neffer,1581617703
Money Transfer,1100000,Nefferbank,Neffer,1579718507
Money Transfer,50000,Nefferbank,Neffer,1579738343
Money Transfer,1500000,Neffbankench,Neffer,1581563145
Money Transfer,410000,Confused,Neffer,1579738501
Money Transfer,120000,Neffbankfish,Neffer,1579900169
Money Transfer,200000,Confused,Nefferbank,1580058055
Money Transfer,950000,Neffbankench,Neffer,1581411139
Money Transfer,1350000,Neffbankfish,Neffer,1581029316
Money Transfer,700000,Neffbankench,Neffer,1581028876
Money Transfer,42242,Horde Auction House,Neffer,1581112593
Money Transfer,21998,Horde Auction House,Neffer,1580756369
Money Transfer,690000,Neffbankfish,Neffer,1581289018
Money Transfer,900000,Neffer,Confused,1580768304
Money Transfer,70000,Nefferbank,Confused,1580768256
Money Transfer,50000,Neffbankench,Neffer,1579900320
Money Transfer,10000000,Frozbank,Jidask,1580132736
Money Transfer,200000,Nefferbank,Neffer,1579900612
Money Transfer,133740,Horde Auction House,Neffbankench,1580453781
Money Transfer,300000,Nefferbank,Neffer,1579651096
Money Transfer,300000,Neffbankfish,Neffer,1579513328
Money Transfer,100000,Neffbankherb,Neffer,1573861126
Money Transfer,600000,Neffstorage,Neffer,1574029000
Money Transfer,220000,Nefferbank,Neffer,1574192284
Money Transfer,1700000,Nefferbank,Neffer,1574285203
Money Transfer,450000,Nefferbank,Neffer,1574008977
Money Transfer,750000,Nefferbank,Neffer,1574378117
Money Transfer,150000,Neffbankfish,Neffer,1574468858
Money Transfer,67400,Neffbankfish,Neffer,1573863836
Money Transfer,36452,Horde Auction House,Neffer,1574443108
Money Transfer,967554,Horde Auction House,Neffer,1573340358
Money Transfer,350000,Neffbankherb,Neffer,1573952952
Money Transfer,600000,Nervs,Neffer,1574616594
Money Transfer,500000,Neffbankench,Neffer,1573953030
Money Transfer,550000,Nefferbank,Neffer,1573953232
Money Transfer,2400000,Nefferbank,Neffer,1574796117
Money Transfer,550000,Nefferbank,Neffer,1574881876
Money Transfer,2900000,Nefferbank,Neffer,1574844879
Money Transfer,80000,Neffbankherb,Neffer,1573954260
Money Transfer,200000,Nefferbank,Neffer,1575016285
Money Transfer,1200000,Nefferbank,Neffer,1575235122
Money Transfer,350000,Nefferbank,Neffer,1574986242
Money Transfer,787384,Horde Auction House,Neffer,1575193642
Money Transfer,250000,Neffbankench,Neffer,1575398398
Money Transfer,460000,Nefferbank,Neffer,1575398813
Money Transfer,330000,Nefferbank,Neffer,1575312613
Money Transfer,1600000,Nefferbank,Neffer,1575485371
Money Transfer,750000,Confused,Neffer,1575585370
Money Transfer,1500000,Confused,Neffer,1575485653
Money Transfer,400000,Neffbankench,Neffer,1575312744
Money Transfer,50000,Confused,Nefferbank,1575679973
Money Transfer,115250,Horde Auction House,Neffer,1575208700
